Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Business Administration,49,7,6,5,0,0,40,3,0,0,0,0
Business Administration (MBA),159,44,20,9,0,0,94,19,0,0,0,0
Business Process Management,10,2,1,2,0,0,1,2,0,0,0,0
Curric Unassigned,627,159,64,81,2,0,78,27,0,0,0,0
Finance,338,113,21,31,1,0,175,19,0,0,0,0
Information Sys & Info Tech,19,6,4,4,0,0,2,2,0,0,0,0
Management,93,23,7,18,0,0,16,7,0,0,0,0
Marketing,95,17,11,14,2,0,7,5,0,0,0,0
Nondegree,3,2,1,0,0,0,36,0,0,0,0,0
Supply Chain Management,29,3,0,2,0,0,0,1,0,0,0,0
Taxation,9,6,2,2,0,0,6,1,0,0,0,0
Technology Management,6,2,0,0,0,0,44,0,0,0,0,0
