Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,589,115,41,36,1,0,99,0,0,0,0,0
Business Administration,780,209,69,51,1,0,234,0,0,0,0,0
CBA NON-DEGREE,3,1,0,0,0,0,30,0,0,0,0,0
Computer Science,79,28,1,2,0,0,273,0,0,0,0,0
Economics,64,19,2,3,0,0,162,0,0,0,0,0
Executive MBA Program,46,4,1,0,0,0,0,0,0,0,0,0
Finance,647,118,44,45,2,0,82,0,0,0,0,0
INT'L MSBA,0,1,0,1,0,0,29,0,0,0,0,0
Leisure Studies,31,1,7,3,0,0,0,0,0,0,0,0
Teaching of Spanish,11,1,1,3,0,0,0,0,0,0,0,0
Technical Systems Management,69,3,0,1,0,0,0,0,0,0,0,0
Theatre,87,1,9,2,0,0,5,0,0,0,0,0
UNASSIGNED,440,60,21,42,2,0,6,0,0,0,0,0
