Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,496,22,11,16,2,0,10,0,0,0,0,0
Architecture,181,8,7,0,0,0,16,0,0,0,0,0
Art Education,61,2,3,0,0,0,7,0,0,0,0,0
Art History,76,3,1,2,0,0,5,0,0,0,0,0
Art and Design,313,28,7,2,1,0,4,0,0,0,0,0
Crafts,19,2,0,0,1,0,0,0,0,0,0,0
Dance,39,1,2,0,0,0,3,0,0,0,0,0
Graphic Design,162,5,1,1,1,0,0,0,0,0,0,0
Industrial Design,90,7,4,0,0,0,2,0,0,0,0,0
Landscape Architecture,132,4,0,2,2,0,1,0,0,0,0,0
MUS-VOICE,45,0,3,0,0,0,0,0,0,0,0,0
MUSIC-COMP,9,0,0,0,0,0,1,0,0,0,0,0
MUSIC-INST,77,6,4,1,0,0,3,0,0,0,0,0
MUSIC-OPEN,1,0,0,0,0,0,0,0,0,0,0,0
Music,180,3,3,2,1,0,13,0,0,0,0,0
Music Education,226,2,5,2,1,0,11,0,0,0,0,0
Music History,4,0,0,0,0,0,1,0,0,0,0,0
PERFORM ST,23,0,0,0,0,0,0,0,0,0,0,0
Theatre,20,0,0,0,1,0,0,0,0,0,0,0
UNCLASS,51,0,1,2,0,0,4,0,0,0,0,0
Urban Planning,131,3,3,1,0,0,4,0,0,0,0,0
