Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Anthropology,40,0,2,3,0,0,9,0,0,0,0,0
Asian Studies,6,2,0,0,0,0,7,0,0,0,0,0
Astronomy,11,1,0,0,0,0,6,0,0,0,0,0
Atmospheric Sciences,9,1,0,0,0,0,12,0,0,0,0,0
BIOCH,98,11,2,3,0,0,0,0,0,0,0,0
Biochemistry,75,3,1,0,0,0,13,0,0,0,0,0
Biology,142,9,1,2,0,0,13,0,0,0,0,0
Biophysics & Computnl Biology,10,1,0,0,0,0,18,0,0,0,0,0
Chemical Engineering,399,40,5,8,1,0,25,0,0,0,0,0
Chemical Physics,6,0,0,0,0,0,0,0,0,0,0,0
Chemistry,453,31,5,2,0,0,41,0,0,0,0,0
Classical Philology,6,1,1,0,0,0,3,0,0,0,0,0
Classics,5,0,0,0,0,0,0,0,0,0,0,0
Comparative Literature,7,3,0,1,0,0,25,0,0,0,0,0
English,90,0,2,0,0,0,13,0,0,0,0,0
Entomology,30,1,0,0,0,0,3,0,0,0,0,0
French,25,0,1,1,0,0,10,0,0,0,0,0
GEN CURR,1870,103,174,50,7,0,5,0,0,0,0,0
Genetics,2,0,0,0,0,0,2,0,0,0,0,0
Geography,20,0,0,1,0,0,11,0,0,0,0,0
Geology,79,2,0,1,0,0,9,0,0,0,0,0
German,18,1,0,0,1,0,5,0,0,0,0,0
HR&FS,36,2,4,1,0,0,1,0,0,0,0,0
History,63,0,1,0,0,0,14,0,0,0,0,0
Italian,4,0,0,0,0,0,2,0,0,0,0,0
LAS TCH MATH,3,0,0,0,0,0,0,0,0,0,0,0
Linguistics,35,3,1,0,0,0,34,0,0,0,0,0
Mathematics,103,10,1,0,0,0,67,0,0,0,0,0
Microbiology,57,1,0,0,0,0,6,0,0,0,0,0
Molecular & Integrative Physi,31,1,0,0,0,0,19,0,0,0,0,0
PRE-JOURN,308,10,10,5,0,0,0,0,0,0,0,0
PRE-MED,211,38,16,8,1,0,0,0,0,0,0,0
PUB ADMIN,11,0,0,0,0,0,0,0,0,0,0,0
Philosophy,29,0,0,0,1,0,4,0,0,0,0,0
Plant Biology,19,0,0,0,0,0,7,0,0,0,0,0
Political Science,31,1,1,0,0,0,9,0,0,0,0,0
Psychology,141,8,5,2,0,0,26,0,0,0,0,0
SOCIAL SCI,3,0,0,0,0,0,0,0,0,0,0,0
Slavic Languages & Literature,13,0,0,0,0,0,4,0,0,0,0,0
Sociology,25,2,0,0,0,0,11,0,0,0,0,0
Speech Communication,44,1,1,0,0,0,1,0,0,0,0,0
TCH BIOL,25,1,0,0,0,0,0,0,0,0,0,0
TCH ENGL,43,0,0,0,0,0,0,0,0,0,0,0
TCH GEOGR,1,0,0,0,0,0,0,0,0,0,0,0
TCH SOC ST,6,0,0,0,0,0,0,0,0,0,0,0
TCH SPEECH,8,0,0,0,0,0,0,0,0,0,0,0
TEACH CS,2,0,0,0,0,0,0,0,0,0,0,0
UNCLASS,69,2,4,4,1,0,28,0,0,0,0,0
UNCM FR&SO,76,2,5,4,0,0,0,0,0,0,0,0
