Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Biology,83,4,3,1,0,0,1,0,0,0,0,0
CUR INST 2,12,0,0,0,0,0,0,0,0,0,0,0
CUR INST#1,3,0,0,0,0,0,0,0,0,0,0,0
CUR INST#3,15,0,0,0,0,0,0,0,0,0,0,0
HLTH EDUC,19,4,3,1,0,0,0,0,0,0,0,0
HLTH PL AD,48,1,2,1,0,0,0,0,0,0,0,0
Kinesiology,175,12,3,5,1,0,19,0,0,0,0,0
Leisure Studies,28,1,0,0,0,0,13,0,0,0,0,0
OUTDR REC,18,0,1,0,0,0,0,0,0,0,0,0
PERSN AREA,0,0,1,0,0,0,0,0,0,0,0,0
PROG MANAG,143,3,3,2,1,0,0,0,0,0,0,0
SOC SCI SP,19,0,1,0,0,0,1,0,0,0,0,0
THER REC,40,3,2,1,0,0,0,0,0,0,0,0
