Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,184,48,26,80,0,2,81,1,32,4,7,56
Architecture,58,13,5,12,0,0,90,0,5,1,0,14
Art Education,24,5,2,6,0,0,4,0,2,0,0,5
Art Foundation,9,0,2,1,0,0,5,1,4,0,0,0
Art History,11,1,0,2,1,0,4,0,1,1,0,1
Art and Design,20,5,1,3,0,0,11,0,1,0,0,6
Crafts,3,1,1,1,0,0,0,0,1,0,0,1
Dance,42,2,15,5,0,0,1,0,21,2,1,3
Graphic Design,83,26,9,20,0,0,23,2,10,1,1,31
History of Art,2,0,0,3,0,0,2,0,0,0,0,0
Industrial Design,59,49,7,17,0,0,66,1,11,3,0,53
Instrumental Music,46,10,2,11,0,0,4,0,4,1,0,12
Jazz Performance,16,3,4,2,0,0,0,0,5,1,1,4
Landscape Architecture,29,4,0,10,0,0,65,0,3,3,0,4
Music,179,28,11,22,0,0,101,3,15,3,0,34
Music Composition,6,0,0,1,0,0,1,0,1,1,0,0
Music Education,125,14,5,17,0,0,3,0,6,2,1,16
Musicology,17,2,1,2,0,0,1,0,1,0,0,3
New Media,9,3,2,2,0,0,2,1,2,0,0,5
Nondegree,14,1,1,2,0,0,21,0,2,1,0,1
Open Studies,5,0,1,0,0,0,0,0,1,0,0,0
Painting,12,2,5,2,0,0,6,1,5,0,0,5
Photography,16,2,4,3,0,0,5,0,4,0,0,2
Regional Planning,4,1,0,2,0,0,8,0,1,1,0,1
Sculpture,2,0,0,0,0,0,0,0,0,0,0,0
Theatre,137,6,25,18,1,0,14,0,28,2,1,11
Urban Planning,22,2,2,3,0,0,35,1,4,0,1,4
Urban Studies & Planning,32,5,3,15,0,0,18,0,4,0,1,7
Voice,21,2,5,5,0,1,0,0,5,0,1,2
