Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,604,225,36,51,1,1,342,7,38,2,0,0
Actuarial Science,123,47,7,7,0,2,106,0,7,0,0,0
Advertising,335,46,41,34,1,0,55,1,45,4,0,0
African American Studies,1,0,5,0,0,0,1,0,5,0,0,0
Anthropology,132,18,11,24,0,1,10,2,12,3,0,0
Applied Mathematics,2,0,0,0,0,0,22,0,0,0,0,0
Curriculum and Instruction,54,10,6,5,1,0,13,0,6,1,0,0
Early Childhood Education,28,5,6,3,0,0,2,0,6,0,0,0
Ed Organization and Leadership,100,6,19,4,0,0,4,1,20,0,0,0
Educational Policy Studies,31,8,54,33,2,0,16,2,61,7,0,0
Educational Psychology,34,4,11,9,0,0,33,0,13,1,0,0
Elementary Education,238,22,12,16,0,0,16,0,12,0,0,0
Human Resource Education,33,6,15,2,0,0,33,0,16,1,0,0
Nondegree,8,0,0,1,0,0,2,1,0,0,0,0
Pre-Early Chld/Elem Ed/Spec Ed,227,25,10,15,0,1,4,1,12,0,0,0
Secondary & Continuing Educ,9,1,3,1,0,0,19,0,3,0,0,0
Secondary Education,10,2,0,0,0,0,0,1,0,0,0,0
Special Education,111,5,7,4,0,0,7,2,7,2,0,0
