Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,621,239,32,70,0,1,450,5,35,7,0,0
Actuarial Science,133,55,4,12,0,1,119,2,5,0,0,0
Advertising,406,51,24,39,0,1,71,5,30,4,0,0
African American Studies,1,0,8,0,0,0,0,0,8,0,0,0
Anthropology,116,16,15,27,1,2,14,3,18,3,0,0
Applied Mathematics,2,2,0,0,0,0,35,0,0,0,0,0
Curriculum and Instruction,65,9,10,9,1,0,17,0,13,2,0,0
Early Childhood Education,16,1,2,3,0,1,1,0,2,0,0,0
Ed Organization and Leadership,93,6,21,6,1,0,4,1,23,3,0,0
Educ Voc Tech,0,0,1,0,0,0,0,0,1,0,0,0
Educational Policy Studies,32,10,75,21,1,0,17,2,87,3,0,0
Educational Psychology,23,5,5,7,0,0,30,0,6,2,0,0
Elementary Education,163,15,9,18,0,0,3,0,10,1,0,0
Human Resource Education,20,0,4,1,0,0,34,0,6,0,0,0
Nondegree,2,0,0,1,0,0,0,0,0,0,0,0
Pre-Early Chld/Elem Ed/Spec Ed,202,21,10,23,0,1,8,1,13,2,0,0
Secondary & Continuing Educ,3,1,1,0,0,0,4,0,1,0,0,0
Secondary Education,8,2,0,2,0,0,0,1,0,0,0,0
Special Education,109,9,5,7,0,0,4,0,5,1,0,0
