Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Business Administration,3,1,4,2,0,0,78,0,4,1,0,1
Business Administration (MBA),116,33,14,18,0,0,60,7,15,7,0,35
Business Process Management,25,5,1,6,0,0,2,0,1,0,0,6
Curric Unassigned,524,195,39,91,0,0,133,8,51,4,0,213
Finance,305,103,11,37,0,0,251,1,14,5,2,113
Information Sys & Info Tech,35,33,5,6,0,0,0,0,5,0,0,37
Management,55,17,13,9,1,1,9,0,14,3,1,17
Marketing,131,40,15,25,0,0,15,1,16,2,0,43
Nondegree,1,0,0,0,0,0,97,0,0,0,0,0
Supply Chain Management,62,9,0,5,0,1,5,0,1,3,1,9
Taxation,11,5,1,1,0,0,5,1,1,1,0,5
Technology Management,11,5,2,2,0,0,99,0,2,0,0,5
