Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,590,200,39,61,2,0,280,17,0,0,0,0
Actuarial Science,132,47,9,5,0,0,88,5,0,0,0,0
Advertising,299,34,40,30,1,0,29,9,0,0,0,0
African American Studies,1,0,6,0,0,0,0,0,0,0,0,0
Anthropology,132,17,11,29,1,0,18,9,0,0,0,0
Applied Mathematics,2,1,0,0,0,0,20,0,0,0,0,0
Curriculum and Instruction,39,6,7,2,0,0,12,4,0,0,0,0
Early Childhood Education,35,2,3,1,0,0,1,0,0,0,0,0
Ed Organization and Leadership,113,7,19,6,0,0,3,7,0,0,0,0
Educational Policy Studies,29,8,53,33,6,0,18,2,0,0,0,0
Educational Psychology,37,4,15,8,0,0,34,0,0,0,0,0
Elementary Education,237,21,10,18,0,0,18,7,0,0,0,0
Human Resource Education,27,5,10,1,0,0,35,0,0,0,0,0
Nondegree,0,0,0,1,0,0,0,1,0,0,0,0
Pre-Early Chld/Elem Ed/Spec Ed,265,23,12,18,0,0,4,6,0,0,0,0
Secondary & Continuing Educ,19,4,5,1,0,0,25,0,0,0,0,0
Secondary Education,16,2,0,2,0,0,0,1,0,0,0,0
Special Education,107,5,5,7,1,0,9,7,0,0,0,0
