Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,193,49,16,46,0,2,118,3,19,2,4,57
Architecture,82,12,2,11,0,0,49,2,2,4,0,12
Art Education,32,3,1,6,0,0,7,0,1,0,0,4
Art Foundation,49,22,5,15,0,0,24,0,6,1,0,26
Art History,12,0,0,2,0,0,5,0,1,0,0,0
Art and Design,24,0,0,3,0,0,9,1,0,1,0,0
Crafts,2,3,0,1,0,0,9,0,0,2,0,3
Dance,46,4,12,3,0,0,2,0,14,0,1,5
Graphic Design,54,13,1,3,0,1,6,1,1,0,1,15
History of Art,3,0,1,0,0,0,0,0,1,0,0,0
Industrial Design,45,24,5,6,0,0,28,0,7,1,0,29
Instrumental Music,46,7,2,5,1,0,8,0,4,2,0,9
Jazz Performance,18,0,5,0,0,0,1,2,5,0,1,1
Landscape Architecture,43,7,1,6,0,0,63,0,1,0,0,7
Music,150,18,8,17,1,0,138,9,11,2,0,24
Music Composition,5,0,0,1,0,0,1,0,0,0,0,1
Music Education,140,8,5,13,0,0,2,0,7,3,0,12
Music History,1,0,0,1,0,0,0,0,0,0,0,1
Musicology,11,0,1,0,0,0,3,0,1,0,0,0
New Media,5,4,1,1,0,0,3,1,3,2,0,4
Nondegree,3,0,1,0,0,0,20,0,1,0,0,0
Open Studies,2,1,0,0,0,0,0,0,0,0,0,1
Painting,13,3,2,0,0,0,2,1,2,0,0,3
Photography,9,1,2,3,0,0,1,0,2,0,0,2
Regional Planning,4,1,1,1,0,0,9,1,3,0,0,1
Sculpture,2,0,0,1,0,0,0,0,0,0,0,0
Theatre,125,2,13,16,1,0,7,1,15,2,0,4
Urban Planning,57,8,9,12,0,0,43,4,11,1,0,10
Voice,16,2,2,2,0,0,0,0,2,0,0,4
