Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Aerospace Engineering,312,64,8,21,4,1,103,6,10,8,0,0
Agricultural & Biological Engr,54,11,1,3,0,0,30,2,1,0,0,0
Agricultural Engineering,30,1,1,1,0,0,11,0,1,0,0,0
Bioengineering,113,43,1,7,1,0,27,1,1,1,0,0
Bioinformatics,2,0,0,0,0,0,1,0,0,0,0,0
Civil Engineering,678,103,27,43,0,2,295,7,30,2,0,0
Computer Engineering,240,99,13,32,2,1,126,2,15,3,0,0
Computer Science,458,194,11,20,0,0,454,9,15,5,0,0
Electrical & Computer Engr,152,49,6,14,0,0,273,4,8,1,0,0
Electrical Engineering,333,226,20,47,1,0,377,3,22,4,0,0
Engineering Mechanics,82,17,1,6,0,1,25,0,1,0,0,0
Engineering Physics,96,17,0,4,0,1,18,1,0,1,0,0
Environ Engr in Civil Engr,28,4,0,6,0,0,45,0,0,0,0,0
Environ Science in Civil Engr,1,1,0,0,0,0,5,2,0,0,0,0
Financial Engineering,2,3,0,0,0,0,21,0,0,0,0,0
General Engineering,285,61,6,22,0,2,41,3,8,2,0,0
Industrial Engineering,68,22,4,7,0,0,98,1,4,0,0,0
Materials Science & Engr,221,75,3,11,1,0,134,3,3,2,0,0
Mechanical Engineering,618,112,15,38,2,3,282,8,15,4,0,0
Nondegree,52,3,2,3,0,0,140,1,2,0,0,0
Nuclear Engineering,66,16,4,5,0,0,28,1,4,1,0,0
"Nuclear, Plasma, Radiolgc Engr ",73,12,0,7,0,0,25,0,0,1,0,0
Physics,105,19,2,4,0,0,123,5,2,1,0,0
Systems & Entrepreneurial Engr,12,0,1,0,0,0,13,0,1,0,0,0
Teaching of Physics,0,0,1,0,0,0,0,0,1,0,0,0
Theoretical & Applied Mechans,21,0,0,2,0,0,22,0,0,0,0,0
