Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,843,122,108,42,1,0,54,0,0,0,0,0
Business Administration,788,75,83,46,0,0,144,0,0,0,0,0
COM TEACH,0,1,0,0,0,0,0,0,0,0,0,0
Computer Science,204,44,3,1,0,0,139,0,0,0,0,0
Economics,93,10,7,6,1,0,148,0,0,0,0,0
Finance,588,55,63,30,1,0,39,0,0,0,0,0
MANAGEMENT,14,0,1,0,0,0,0,0,0,0,0,0
MARKETING,107,10,22,5,0,0,1,0,0,0,0,0
Teaching of Spanish,24,0,0,2,1,0,1,0,0,0,0,0
Theatre,86,1,3,1,0,0,7,0,0,0,0,0
UNASSIGNED,418,54,31,31,0,0,41,0,0,0,0,0
