Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,698,196,43,68,2,0,200,15,0,0,0,0
Actuarial Science,173,40,5,4,1,0,53,5,0,0,0,0
Advertising,263,26,23,23,3,0,22,5,0,0,0,0
Anthropology,150,9,10,28,2,0,19,4,0,0,0,0
Applied Mathematics,2,3,0,0,0,0,21,1,0,0,0,0
Early Childhood Education,40,1,5,5,0,0,1,1,0,0,0,0
Ed Organization and Leadership,147,2,22,4,0,0,1,3,0,0,0,0
Educ Voc Tech,27,4,10,0,0,0,24,4,0,0,0,0
Education,2,0,0,0,0,0,0,0,0,0,0,0
Education General,69,5,5,6,2,0,1,3,0,0,0,0
Educational Policy Studies,29,10,36,26,6,0,20,2,0,0,0,0
Educational Psychology,51,7,12,8,0,0,54,0,0,0,0,0
Elementary Education,285,22,21,21,1,0,36,3,0,0,0,0
Human Resource Education,9,1,6,2,0,0,4,0,0,0,0,0
Pre-Early Chld/Elem Ed/Spec Ed,161,5,8,12,0,0,1,1,0,0,0,0
Secondary & Continuing Educ,48,6,9,5,0,0,37,1,0,0,0,0
Special Education,118,6,8,4,0,0,16,2,0,0,0,0
