Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
ACES Undeclared,25,3,8,10,0,0,4,0,10,2,0,6
Accountancy,509,217,42,92,0,0,516,29,53,6,1,249
Actuarial Science,123,97,7,16,0,1,143,1,8,3,4,105
Advertising,411,59,34,53,0,0,62,3,41,5,4,77
African American Studies,0,1,16,1,0,0,1,0,18,0,0,1
Anthropology,74,10,17,17,0,0,20,3,23,4,2,16
Applied Mathematics,0,1,0,0,0,0,12,0,0,0,0,1
Curriculum and Instruction,34,7,8,11,0,0,19,0,9,2,0,8
Early Childhood Education,22,13,3,8,0,0,6,0,7,0,0,14
Ed Organization and Leadership,17,0,2,0,0,0,2,1,2,0,0,0
"Educ Policy, Orgzn & Leadrshp ",412,41,120,65,0,3,20,32,134,12,3,44
Education Curriculum Uassign,13,0,2,6,0,0,0,0,3,1,0,0
Educational Policy Studies,6,4,17,4,0,0,7,1,21,1,0,4
Educational Psychology,21,4,4,1,0,0,18,1,4,1,0,7
Elementary Education,213,30,10,43,0,0,1,1,10,3,0,34
Human Resource Education,3,0,1,0,0,0,13,1,2,0,0,0
Learning and Education Studies,14,7,6,10,0,0,7,0,10,1,0,9
Middle Grades Education,44,10,7,17,0,0,0,0,10,2,1,11
Nondegree,3,0,0,0,0,0,1,0,1,1,0,0
Secondary Education,15,0,0,3,0,0,0,1,0,0,0,1
Special Education,118,5,10,19,0,1,4,0,11,0,1,7
