Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,627,121,55,38,0,0,103,0,0,0,0,0
Business Administration,791,171,72,61,0,0,284,0,0,0,0,0
CBA NON-DEGREE,3,1,0,0,0,0,19,0,0,0,0,0
Computer Science,95,26,0,2,0,0,227,0,0,0,0,0
Economics,72,17,3,7,0,0,159,0,0,0,0,0
Executive MBA Program,62,3,0,1,0,0,1,0,0,0,0,0
Finance,571,104,42,39,1,0,56,0,0,0,0,0
INT'L MSBA,1,0,0,0,0,0,41,0,0,0,0,0
Leisure Studies,34,3,7,2,0,0,0,0,0,0,0,0
Teaching of Spanish,15,1,0,4,0,0,0,0,0,0,0,0
Technical Systems Management,66,1,1,1,0,0,0,0,0,0,0,0
Theatre,110,4,10,2,1,0,7,0,0,0,0,0
UNASSIGNED,424,66,19,36,2,0,8,0,0,0,0,0
