Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Environmental Cmc & Educ,2,0,0,0,0,0,0,0,0,0,0,0
Agricultural & Applied Econ,384,4,7,2,1,0,42,0,0,0,0,0
Agricultural Communications,78,0,1,0,0,0,0,0,0,0,0,0
Agricultural Education,13,0,0,0,1,0,0,0,0,0,0,0
Agricultural Engineering,81,1,0,1,0,0,1,0,0,0,0,0
Agricultural Sciences,60,2,0,1,2,0,0,0,0,0,0,0
Agronomy,164,0,1,0,0,0,22,0,0,0,0,0
Animal Sciences,414,5,7,3,0,0,26,0,0,0,0,0
Application Design,17,0,1,0,0,0,0,0,0,0,0,0
CONSM ECON,20,1,0,0,0,0,0,0,0,0,0,0
CORE CURR,108,5,1,0,1,0,0,0,0,0,0,0
DAIRY SCI,63,0,0,1,0,0,3,0,0,0,0,0
DIETETICS,61,5,0,2,0,0,1,0,0,0,0,0
EXT EDUC,9,0,0,0,0,0,3,0,0,0,0,0
FAM&CON EC,7,0,0,1,0,0,6,0,0,0,0,0
Food Science & Human Nutrition,164,21,4,2,0,0,26,0,0,0,0,0
Forestry,68,3,0,1,0,0,4,0,0,0,0,0
GEN AGR,24,1,0,0,0,0,2,0,0,0,0,0
GEN H ECON,9,0,1,0,0,0,1,0,0,0,0,0
H DVL-FAM,73,1,4,2,0,0,0,0,0,0,0,0
HOME ECON,1,0,0,0,0,0,0,0,0,0,0,0
HR&FS A&ID,6,1,0,0,0,0,3,0,0,0,0,0
HR&FS GEN,3,0,0,0,0,0,0,0,0,0,0,0
HU DEV&FAM,19,1,0,0,0,0,5,0,0,0,0,0
Horticulture,39,2,0,0,0,0,11,0,0,0,0,0
INST MGMT,7,0,0,0,0,0,0,0,0,0,0,0
INT DSGN,130,4,4,3,1,0,3,0,0,0,0,0
Industrial Agriculture,78,0,1,0,0,0,0,0,0,0,0,0
MKT TEXT&A,153,4,5,2,0,0,0,0,0,0,0,0
Mechanical Agriculture,33,0,0,0,0,0,0,0,0,0,0,0
Nutritional Sciences,26,4,0,0,0,0,5,0,0,0,0,0
ORN HORT,63,0,0,1,0,0,0,0,0,0,0,0
PLANT PATH,25,0,0,0,0,0,9,0,0,0,0,0
Physics,293,18,2,5,1,0,54,0,0,0,0,0
REST MGMT,75,2,2,0,0,0,0,0,0,0,0,0
SOIL SCI,3,0,0,0,0,0,0,0,0,0,0,0
Secondary Education,38,1,0,1,0,0,0,0,0,0,0,0
Spanish,19,1,0,11,0,0,12,0,0,0,0,0
Speech & Hearing Science,111,1,10,2,0,0,3,0,0,0,0,0
Statistics,14,5,0,0,0,0,10,0,0,0,0,0
TEXT-APPRL,27,0,1,0,0,0,0,0,0,0,0,0
Teaching of Biological Science,3,0,0,0,0,0,0,0,0,0,0,0
Teaching of Chemistry,9,2,0,0,0,0,0,0,0,0,0,0
Teaching of Earth Science,1,0,0,0,0,0,0,0,0,0,0,0
Teaching of English Sec Lang,37,0,1,0,0,0,32,0,0,0,0,0
Teaching of French,20,0,0,0,0,0,0,0,0,0,0,0
Teaching of German,8,0,1,0,0,0,0,0,0,0,0,0
Teaching of Mathematics,35,1,1,1,0,0,1,0,0,0,0,0
Teaching of Physics,3,0,0,0,0,0,0,0,0,0,0,0
VOC H E ED,13,0,0,0,0,0,0,0,0,0,0,0
