Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agricultural Communications,10,0,1,1,0,0,0,0,1,0,0,1
Broadcast Journalism,5,1,5,1,0,0,0,0,6,0,0,1
Communications,0,0,1,0,0,0,1,0,1,0,0,0
Communications and Media,8,2,3,3,0,0,29,0,3,2,0,4
Journalism,132,19,29,34,1,0,15,0,32,2,0,24
Media and Cinema Studies,36,16,13,15,0,0,14,1,17,0,0,19
News-Editorial,3,0,0,1,0,0,0,0,1,0,0,1
Nondegree,6,1,2,0,0,0,11,0,2,1,0,1
Strategic Brand Communication,16,1,2,3,0,0,0,1,2,0,0,2
