Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,529,25,13,12,3,0,15,0,0,0,0,0
Architecture,160,6,3,3,0,0,39,0,0,0,0,0
Art Education,60,0,3,2,0,0,2,0,0,0,0,0
Art History,70,0,2,2,0,0,1,0,0,0,0,0
Art and Design,364,20,12,3,2,0,13,0,0,0,0,0
Crafts,18,1,0,0,0,0,0,0,0,0,0,0
Dance,36,1,3,0,0,0,1,0,0,0,0,0
Graphic Design,154,8,0,2,1,0,0,0,0,0,0,0
Industrial Design,73,3,5,1,0,0,0,0,0,0,0,0
Landscape Architecture,151,3,0,1,0,0,3,0,0,0,0,0
MUS-VOICE,37,0,1,0,0,0,2,0,0,0,0,0
MUSIC-COMP,18,0,0,0,0,0,0,0,0,0,0,0
MUSIC-INST,84,12,1,1,1,0,6,0,0,0,0,0
Music,218,2,6,4,0,0,7,0,0,0,0,0
Music Education,279,5,5,1,1,0,8,0,0,0,0,0
Music History,4,0,0,0,0,0,2,0,0,0,0,0
PERFORM ST,21,0,0,0,0,0,0,0,0,0,0,0
TCH DANCE,6,0,1,0,0,0,0,0,0,0,0,0
Theatre,26,0,0,0,0,0,0,0,0,0,0,0
UNCLASS,58,2,2,0,0,0,9,0,0,0,0,0
Urban Planning,92,3,7,0,0,0,6,0,0,0,0,0
