Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
African Studies,1,0,0,0,0,0,1,0,0,0,0,1
Astronomy,31,11,3,3,0,1,20,2,5,1,1,17
Atmospheric Sciences,83,6,5,9,0,0,14,2,6,0,0,8
Biochemistry,84,54,2,9,0,0,64,1,2,0,1,60
Biology,307,203,52,88,1,1,31,3,62,10,2,217
Biophysics & Computnl Biology,13,6,0,1,0,0,34,0,0,0,0,6
Cell and Developmental Biology,8,5,0,1,0,0,38,0,0,0,0,5
Chemical Engineering,378,178,17,45,0,0,143,6,22,2,3,200
Chemical Physics,4,1,1,0,0,0,1,1,1,0,0,1
Chemistry,392,138,29,57,2,0,197,13,33,6,0,160
Classical Philology,5,0,0,0,0,0,2,0,1,0,0,0
Classics,17,1,1,1,0,0,1,1,1,0,0,1
Communication,481,58,108,73,2,0,81,8,120,7,1,74
Comparative Literature,12,3,0,2,0,0,10,0,0,1,0,3
Computer Sci & Anthropology,6,1,0,0,0,0,2,0,0,0,0,1
Computer Sci & Astronomy,2,4,1,0,0,0,1,0,1,0,0,4
Computer Sci & Chemistry,8,4,0,0,0,0,3,0,0,0,0,4
Computer Sci & Linguistics,2,1,1,0,0,0,4,0,1,0,0,1
Creative Writing,41,5,10,5,0,0,0,0,13,4,0,5
E Asian Languages & Cultures,27,18,1,6,0,0,26,1,3,1,0,21
"Earth Systems, Env, & Society ",1,0,0,0,0,0,0,0,0,0,0,0
"Earth, Soc, Env Sustainability ",94,12,6,11,1,0,14,1,6,1,0,14
"Earth, Society, & Environment ",6,0,1,0,0,0,0,0,1,0,0,1
East Asian Studies,4,3,0,0,0,0,9,0,0,0,0,3
"Ecol, Evol, Conservation Biol ",24,1,2,2,1,0,1,0,2,1,0,3
Economics,325,135,23,42,0,1,570,13,29,1,2,158
English,320,48,27,53,2,0,14,3,31,5,3,64
Entomology,29,2,1,1,0,0,7,1,1,0,0,2
European Union Studies,4,0,0,0,0,0,4,0,0,0,0,0
French,20,3,4,2,0,0,13,0,5,1,0,4
Gender and Women's Studies,2,0,4,3,0,0,0,0,5,0,0,1
General Curriculum,59,43,38,44,0,0,13,2,41,3,2,44
Geography,14,1,1,1,0,0,22,0,1,0,0,1
Geography & Geographic Info Sc,16,4,2,3,0,0,4,0,2,0,0,4
Geology,79,6,2,10,0,0,12,1,2,1,0,10
German,6,0,0,0,0,0,5,0,0,0,0,1
Germanic Lang & Lit,6,1,0,2,0,0,1,0,0,0,0,1
Global Studies,107,35,12,27,0,0,24,3,19,3,0,46
History,225,17,13,37,0,0,24,2,15,4,2,25
History of Art,14,2,0,2,0,0,3,0,0,0,0,2
Individual Plans of Study,2,3,0,2,0,0,0,0,0,0,0,3
Integrative Biology,245,59,29,46,0,1,13,6,33,1,2,69
Interdisciplinary,1,0,0,0,0,0,2,1,0,0,0,0
Italian,4,0,0,1,0,0,0,0,0,0,0,0
LAS - Undeclared,4,9,100,47,0,0,0,1,106,2,0,12
Latin American Studies,5,0,1,1,0,0,1,0,2,1,0,1
Latina/Latino Studies,0,1,0,4,0,0,0,0,1,0,0,1
Linguistics,59,9,3,10,0,0,23,3,6,0,0,11
Math & Computer Science,79,45,3,7,0,0,68,2,4,0,0,53
Mathematics,202,72,14,38,2,0,353,10,18,3,1,88
Microbiology,26,3,1,4,0,0,16,1,2,1,0,5
Molecular & Integrative Physi,11,3,1,0,0,0,7,0,1,0,0,3
Molecular and Cellular Biology,539,330,48,80,0,1,63,10,54,4,4,355
Molecular&Cell Bio-undeclared,5,1,0,5,0,0,11,0,0,0,0,1
Neuroscience,32,9,1,4,0,1,8,3,3,3,1,11
Nondegree,70,15,1,9,0,0,105,7,2,1,1,19
Philosophy,47,8,8,4,0,0,10,0,10,1,2,9
Physics,186,59,5,11,0,1,131,1,5,2,2,65
Plant Biology,27,1,0,5,0,0,7,1,3,1,0,1
Plant Biotechnology,1,1,0,0,0,0,1,0,0,0,0,1
Political Science,390,59,70,101,0,2,36,7,83,8,3,77
Portuguese,1,1,0,1,0,0,0,0,0,0,0,1
Psychology,698,204,113,166,0,5,158,13,133,14,14,233
Religion,13,3,0,1,0,0,1,1,1,0,0,3
Rhetoric,22,3,5,3,0,0,1,0,5,0,1,4
Russian Lang & Literature,4,0,1,0,0,0,0,0,1,0,0,0
"Russian, E Eur, Eurasian St ",19,0,0,0,0,0,0,0,0,0,0,0
S Asian & Middle Eastern St,1,0,0,2,0,0,0,1,0,0,0,2
Slavic Languages & Literature,8,0,1,1,0,0,6,1,1,0,0,0
Sociology,84,29,41,36,0,0,36,2,50,8,3,33
Spanish,69,3,6,37,0,0,18,1,10,2,0,5
Speech Communication,0,0,1,1,0,0,0,0,1,0,0,0
Statistics,66,35,2,6,0,0,146,0,3,1,2,41
Statistics & Computer Science,13,20,0,3,0,0,18,0,0,0,0,22
Teaching of Biological Science,0,0,0,0,0,0,1,0,0,0,0,0
Teaching of Chemistry,2,0,0,0,0,0,1,0,0,0,0,0
Teaching of English Sec Lang,22,2,0,1,0,0,24,0,1,0,0,3
Teaching of French,3,0,0,0,0,0,0,0,0,0,0,0
Teaching of Latin,3,0,0,0,0,0,0,0,0,0,0,0
Teaching of Mathematics,2,0,0,1,0,0,1,0,0,0,0,0
Teaching of Spanish,10,0,0,6,0,0,0,0,0,0,0,0
Translation and Interpreting,5,0,1,2,0,0,2,0,1,0,0,0
