Major Name,Total
Agr & Environmental Cmc & Educ,8
Agricultural & Applied Econ,438
Agricultural Communications,77
Agricultural Education,16
Agricultural Engineering,109
Agricultural Sciences,38
Agronomy,132
Animal Sciences,439
CONSM ECON,46
CORE CURR,54
DIETETICS,66
EXT EDUC,8
FAM&CON EC,8
Food Science & Human Nutrition,235
Forestry,169
GEN AGR,14
GEN H ECON,1
H DVL-FAM,137
HR&FS A&ID,15
HU DEV&FAM,27
Horticulture,68
INT DSGN,4
MKT TEXT&A,103
Mechanical Agriculture,67
Nutritional Sciences,43
ORN HORT,87
PLANT PATH,32
Physics,348
REST MGMT,75
SOIL SCI,3
Secondary Education,41
Spanish,47
Speech & Hearing Science,192
Statistics,29
TEXT-APPRL,19
Teaching of Biological Science,9
Teaching of Chemistry,15
Teaching of Earth Science,2
Teaching of English Sec Lang,106
Teaching of French,17
Teaching of German,3
Teaching of Latin,2
Teaching of Mathematics,45
Teaching of Physics,5
