Major Name,Total
Architectural Studies,525
Architecture,232
Art Education,108
Art Foundation,130
Art History,35
Art and Design,40
Crafts,23
Dance,69
General Curriculum,8
Graphic Design,75
History of Art,16
Industrial Design,100
Instrumental Music,136
Landscape Architecture,151
Music,317
Music Composition,12
Music Education,253
Music History,2
Musicology,9
Nondegree,30
Open Studies,22
Painting,46
Photography,32
Regional Planning,26
Sculpture,12
Theatre,186
Urban Planning,202
Voice,21
