Major Name,Total
African Studies,3
American Civilization,1
Asian Studies,2
Astronomy,62
Atmospheric Sciences,116
Biochemistry,225
Biology,619
Biophysics & Computnl Biology,54
Cell and Developmental Biology,43
Chemical Engineering,768
Chemical Physics,9
Chemistry,800
Classical Philology,8
Classics,25
Communication,817
Comparative Literature,25
Computer Sci & Chemistry,1
Creative Writing,41
E Asian Languages & Cultures,79
"Earth Systems, Env, & Society ",11
"Earth, Soc, Env Sustainability ",129
"Earth, Society, & Environment ",31
East Asian Studies,11
"Ecol, Evol, Conservation Biol ",32
Economics,1068
English,534
Entomology,44
European Union Studies,8
French,53
Gender and Women's Studies,19
General Curriculum,163
Geography,42
Geography & Geographic Info Sc,18
Geology,100
German,18
Germanic Lang & Lit,13
Global Studies,235
History,380
History of Art,28
Individual Plans of Study,6
Integrative Biology,428
Interdisciplinary,3
International Studies,1
Italian,7
LAS - Undeclared,154
Latin American Studies,12
Latina/Latino Studies,5
Linguistics,104
Math & Computer Science,161
Mathematics,697
Microbiology,52
Molecular & Integrative Physi,19
Molecular and Cellular Biology,1175
Molecular&Cell Bio-undeclared,57
Neuroscience,48
Nondegree,183
Philosophy,90
Physics,329
Plant Biology,44
Political Science,716
Portuguese,3
Psychology,1386
Religion,22
Religious Studies,1
Rhetoric,60
Russian & E European Studies,1
Russian Lang & Literature,6
"Russian, E Eur, Eurasian St ",10
S Asian & Middle Eastern St,2
Slavic Languages & Literature,16
Sociology,281
Spanish,193
Speech Communication,2
Statistics,260
Statistics & Computer Science,34
Teaching of Chemistry,1
Teaching of English Sec Lang,61
Teaching of French,5
Teaching of German,1
Teaching of Mathematics,4
Teaching of Spanish,7
Translation and Interpreting,7
