Major Name,Total
Aerospace Engineering,536
Agricultural & Biological Engr,160
Agricultural Engineering,1
Bioengineering,276
Bioinformatics,3
Civil Engineering,1287
Computer Engineering,791
Computer Science,1514
Electrical & Computer Engr,494
Electrical Engineering,1170
Engineering Mechanics,97
Engineering Physics,197
Engineering Undeclared,100
Environ Engr in Civil Engr,110
Environ Science in Civil Engr,4
Financial Engineering,98
General Engineering,320
Industrial Engineering,296
Materials Science & Engr,602
Mechanical Engineering,1197
Nondegree,207
Nuclear Engineering,14
"Nuclear, Plasma, Radiolgc Engr ",225
Physics,255
Systems & Entrepreneurial Engr,25
Teaching of Physics,2
Theoretical & Applied Mechans,58
