Major Name,Total
Anthropology,57
Asian Studies,20
Astronomy,17
Atmospheric Sciences,21
Biochemistry,97
Biology,182
Biophysics & Computnl Biology,26
Chemical Engineering,538
Chemical Physics,8
Chemistry,557
Classical Philology,10
Classics,8
Comparative Literature,39
English,98
Entomology,37
French,31
GEN CURR,2074
Genetics,6
Geography,34
Geology,106
German,22
HR&FS,37
History,73
Italian,5
LAS TCH MATH,2
Linguistics,82
Mathematics,181
Microbiology,67
Molecular & Integrative Physi,56
PRE-JOURN,227
PRE-MED,137
PUB ADMIN,20
Philosophy,38
Plant Biology,27
Political Science,31
Psychology,182
SOCIAL SCI,4
SP CORRECT,1
Slavic Languages & Literature,20
Sociology,44
Speech Communication,47
TCH BIOL,20
TCH ENGL,38
TCH RUSS,1
TCH SOC ST,7
TCH SPEECH,8
UNCLASS,180
