Major Name,Total
African Studies,4
Astronomy,105
Atmospheric Sciences,108
Biochemistry,236
Biology,723
Biophysics & Computnl Biology,28
Biophysics & Quant Biology,20
Cell and Developmental Biology,38
Chemical Engineering,794
Chemical Physics,6
Chemistry,836
Classical Philology,10
Classics,11
Communication,750
Comparative Literature,24
Computer Sci & Anthropology,16
Computer Sci & Astronomy,32
Computer Sci & Chemistry,32
Computer Sci & Linguistics,53
Creative Writing,108
E Asian Languages & Cultures,74
"Earth Systems, Env, & Society ",1
"Earth, Soc, Env Sustainability ",149
East Asian Studies,9
"Ecol, Evol, Conservation Biol ",38
Economics,1195
English,435
Entomology,41
European Union Studies,11
French,37
Gender and Women's Studies,16
General Curriculum,134
Geography,50
Geography & Geographic Info Sc,36
Geology,103
German,12
Germanic Lang & Lit,4
Global Studies,192
History,317
History of Art,13
Individual Plans of Study,5
Integrative Biology,392
Interdisciplinary,3
Italian,12
LAS - Undeclared,114
Latina/Latino Studies,14
Linguistics,124
Math & Computer Science,305
Mathematics,784
Microbiology,55
Molecular & Integrative Physi,22
Molecular and Cellular Biology,997
Molecular&Cell Bio-undeclared,34
Neuroscience,69
Nondegree,202
Philosophy,91
Physics,395
Plant Biology,37
Political Science,615
Psychology,1556
Religion,13
Rhetoric,1
Russian Lang & Literature,1
"Russian, E Eur, Eurasian St ",14
S Asian & Middle Eastern St,5
Slavic Languages & Literature,17
Slavic Studies,1
Sociology,211
Spanish,137
Speech Communication,1
Statistics,418
Statistics & Computer Science,142
Teaching of Chemistry,1
Teaching of English Sec Lang,38
Teaching of Latin,2
Teaching of Mathematics,1
Teaching of Spanish,7
Translation and Interpreting,14
