Major Name,Total
Accountancy,1431
Actuarial Science,329
Advertising,615
African American Studies,9
Anthropology,199
Applied Mathematics,39
Curriculum and Instruction,113
Early Childhood Education,24
Ed Organization and Leadership,136
Educ Voc Tech,1
Educational Policy Studies,164
Educational Psychology,70
Elementary Education,212
Human Resource Education,61
Nondegree,3
Pre-Early Chld/Elem Ed/Spec Ed,271
Secondary & Continuing Educ,9
Secondary Education,13
Special Education,136
