Major Name,Total
Agr & Environmental Cmc & Educ,6
Agricultural & Applied Econ,423
Agricultural Communications,74
Agricultural Education,15
Agricultural Engineering,69
Agricultural Sciences,58
Agronomy,177
Animal Sciences,392
Application Design,9
CONSM ECON,36
CORE CURR,71
DAIRY SCI,46
DIETETICS,81
EXT EDUC,17
FAM&CON EC,16
Food Science & Human Nutrition,218
Forestry,64
GEN AGR,18
GEN H ECON,12
H DVL-FAM,90
HR&FS A&ID,11
HR&FS GEN,4
HU DEV&FAM,12
Horticulture,50
INST MGMT,5
INT DSGN,131
Industrial Agriculture,89
MKT TEXT&A,160
Mechanical Agriculture,23
Nutritional Sciences,39
ORN HORT,63
PLANT PATH,37
Physics,364
REST MGMT,97
SOIL SCI,4
Secondary Education,44
Spanish,46
Speech & Hearing Science,91
Statistics,46
TEXT-APPRL,46
Teaching of Biological Science,2
Teaching of Chemistry,12
Teaching of Earth Science,1
Teaching of English Sec Lang,75
Teaching of French,17
Teaching of German,8
Teaching of Mathematics,28
Teaching of Physics,3
VOC H E ED,15
