Major Name,Total
Agr & Consumer Economics,360
Agr & Environmental Cmc & Educ,136
Agr Engineering & Agr Science,40
Agricultural & Applied Econ,1
Animal Sciences,571
CFTM-CNSMR&TXTL,15
CTM-CNSMR&TXTL,119
Crop Sciences,145
Food Science & Human Nutrition,391
Forestry,14
HDFS-CH&AD DEV,138
HDFS-FS,56
HORT -- P&M,54
HORT--HORT SCI,5
Horticulture,5
Human & Community Development,26
IRCE-CONS EC&F,87
IRCE-E&NR MGMT,2
IRCE-INDCURRIC,9
"IRCE-POL,TRD,DV",37
NRES-BIOL SCI,55
NRES-ENV S W,14
NRES-F & W CONS,35
NRES-SOC SCI,39
Natural Res & Env Sciences,67
Natural Resrcs & Environ Sci,137
Nondegree,17
Nutritional Sciences,44
Physics,350
"Recreation, Sport, and Tourism ",153
Spanish,58
Speech & Hearing Science,285
Statistics,27
Teaching of Biological Science,4
Teaching of Chemistry,11
Teaching of English Sec Lang,60
Teaching of French,5
Teaching of Latin,5
Teaching of Mathematics,3
Teaching of Physics,1
