Major Name,Total
Aerospace Engineering,672
Agricultural & Biological Engr,121
Bioengineering,349
Bioinformatics,5
Bioinstrumentation,16
Civil Engineering,1329
Computer Engineering,1195
Computer Science,1748
Electrical & Computer Engr,585
Electrical Engineering,1151
Engineering,25
Engineering Mechanics,137
Engineering Physics,226
Engineering Undeclared,75
Environ Engr in Civil Engr,118
Environ Science in Civil Engr,1
Financial Engineering,121
General Engineering,219
Industrial Engineering,353
Materials Science & Engr,566
Mechanical Engineering,1269
Nondegree,194
Nuclear Engineering,2
"Nuclear, Plasma, Radiolgc Engr ",231
Physics,286
Systems & Entrepreneurial Engr,20
Systems Engineering and Design,4
Theoretical & Applied Mechans,51
