Major Name,Total
African American Studies,3
Anthropology,87
Applied Mathematics,24
Asian Studies,19
Astronomy,18
Atmospheric Sciences,26
BIOCH,148
Biochemistry,102
Biology,153
Biophysics & Computnl Biology,47
Chemical Engineering,414
Chemical Physics,9
Chemistry,453
Classical Philology,5
Classics,17
Comparative Literature,35
English,142
Entomology,24
French,65
GEN CURR,2171
Geography,49
Geology,50
German,34
History,150
Italian,5
LAS TCH MATH,17
Linguistics,99
Mathematics,205
Microbiology,69
Molecular & Integrative Physi,61
PRE-JOURN,508
PRE-MED,172
Philosophy,38
Plant Biology,27
Political Science,77
Portuguese,5
Psychology,195
Slavic Languages & Literature,26
Sociology,48
Speech Communication,57
TCH BIOL,29
TCH ENGL,74
TCH RUSS,4
TCH SOC ST,40
TCH SPEECH,2
TEACH CS,5
UNCLASS,210
UNCM FR&SO,259
