Major Name,Total
Architectural Studies,418
Architecture,199
Art Education,54
Art Foundation,15
Art History,14
Art and Design,47
Computer Science and Music,1
Crafts,4
Dance,68
Graphic Design,185
History of Art,8
Industrial Design,201
Instrumental Music,77
Jazz Performance,31
Landscape Architecture,108
Lyric Theatre,12
Music,338
Music Composition,10
Music Education,152
Musicology,19
New Media,29
Nondegree,38
Open Studies,5
Painting,36
Photography,32
Regional Planning,16
Sculpture,3
Theatre,201
Urban Planning,53
Urban Studies & Planning,80
Voice,25
