Major Name,Total
Business Administration,254
Business Administration (MBA),355
Business Process Management,6
Curric Unassigned,1139
Finance,727
Information Sys & Info Tech,25
Management,84
Marketing,102
Nondegree,37
Supply Chain Management,24
Technology Management,49
