Major Name,Total
Architectural Studies,547
Architecture,202
Art Education,106
Art History,25
Art and Design,45
Crafts,30
Creative Writing,3
Dance,71
General Curriculum,147
Graphic Design,88
History of Art,21
Industrial Design,85
Instrumental Music,112
Landscape Architecture,166
Music,249
Music Composition,12
Music Education,208
Music History,4
Musicology,19
Nondegree,29
Open Studies,10
Painting,48
Photography,21
Regional Planning,25
Sculpture,17
Theatre,202
Urban Planning,174
Voice,26
