Major Name,Total
African Studies,3
Asian American Studies,2
Astronomy,104
Atmospheric Sciences,119
Biochemistry,240
Biology,696
Biophysics & Computnl Biology,16
Biophysics & Quant Biology,33
Cell and Developmental Biology,31
Chemical Engineering,785
Chemical Physics,6
Chemistry,819
Classical Philology,11
Classics,13
Communication,716
Comparative Literature,23
Computer Sci & Anthropology,26
Computer Sci & Astronomy,32
Computer Sci & Chemistry,47
Computer Sci & Linguistics,69
Creative Writing,103
E Asian Languages & Cultures,64
"Earth, Soc, Env Sustainability ",150
East Asian Studies,11
"Ecol, Evol, Conservation Biol ",36
Economics,1243
English,459
Entomology,36
European Union Studies,10
French,36
Gender and Women's Studies,13
General Curriculum,163
Geography,52
Geography & Geographic Info Sc,38
Geology,101
German,12
Germanic Lang & Lit,5
Global Studies,191
Health Communication,28
History,326
History of Art,16
Individual Plans of Study,8
Integrative Biology,390
Interdisciplinary,3
Italian,8
LAS - Undeclared,116
Latin American Studies,3
Latina/Latino Studies,13
Linguistics,135
Math & Computer Science,306
Mathematics,744
Microbiology,53
Molecular & Integrative Physi,20
Molecular and Cellular Biology,1002
Molecular&Cell Bio-undeclared,38
Neuroscience,59
Nondegree,220
Philosophy,90
Physics,351
Plant Biology,32
Political Science,696
Psychological Science,8
Psychology,1583
Religion,10
Rhetoric,1
"Russian, E Eur, Eurasian St ",16
S Asian & Middle Eastern St,3
Slavic Languages & Literature,15
Slavic Studies,1
Sociology,200
Spanish,135
Speech Communication,3
Statistics,506
Statistics & Computer Science,203
Teaching of Biological Science,22
Teaching of Chemistry,2
Teaching of English Sec Lang,33
Teaching of Latin,1
Teaching of Mathematics,2
Teaching of Spanish,3
Translation and Interpreting,28
