Major Name,Total
Architectural Studies,482
Architecture,196
Art Education,71
Art Foundation,123
Art History,24
Art and Design,39
Crafts,14
Dance,54
Graphic Design,76
History of Art,8
Industrial Design,110
Instrumental Music,75
Jazz Performance,22
Landscape Architecture,113
Music,329
Music Composition,5
Music Education,166
Music History,3
Musicology,19
New Media,18
Nondegree,22
Open Studies,4
Painting,38
Photography,32
Regional Planning,21
Sculpture,8
Theatre,195
Urban Planning,143
Voice,34
