Major Name,Total
Architectural Studies,433
Architecture,179
Art Education,41
Art Foundation,20
Art History,19
Art and Design,41
Crafts,6
Dance,71
Graphic Design,167
History of Art,7
Industrial Design,206
Instrumental Music,75
Jazz Performance,28
Landscape Architecture,111
Music,350
Music Composition,9
Music Education,166
Musicology,23
New Media,20
Nondegree,40
Open Studies,6
Painting,31
Photography,30
Regional Planning,15
Sculpture,2
Theatre,208
Urban Planning,68
Urban Studies & Planning,75
Voice,34
