Major Name,Total
Aerospace Engineering,482
Agricultural Engineering,92
Bioengineering,136
Bioinformatics,4
Civil Engineering,830
Computer Engineering,434
Computer Science,956
Electrical & Computer Engr,521
Electrical Engineering,774
Engineering Mechanics,49
Engineering Physics,134
Environ Engr in Civil Engr,63
Environ Science in Civil Engr,13
General Engineering,595
Industrial Engineering,87
Materials Science & Engr,398
Mechanical Engineering,1090
Nondegree,106
Nuclear Engineering,171
Physics,288
Systems & Entrepreneurial Engr,33
Theoretical & Applied Mechans,51
