Major Name,Total
Actuarial Science,14
African American Studies,7
Anthropology,65
Applied Mathematics,8
Asian Studies,18
Astronomy,22
Atmospheric Sciences,30
BIOCH,156
Biochemistry,87
Biology,383
Biophysics & Computnl Biology,56
CELL & STR BIOL,51
Chemical Engineering,432
Chemical Physics,4
Chemistry,396
Classical Philology,5
Classics,5
Comparative Literature,27
E Asian Languages & Cultures,18
English,129
Entomology,37
French,31
GEN CURR,2198
Geography,33
Geology,46
German,21
History,98
Italian,4
LATIN AMER ST,7
Linguistics,74
Mathematics,167
Microbiology,49
Molecular & Integrative Physi,40
Neuroscience,42
PRE-JOURN,512
PRE-MED,240
Philosophy,37
Plant Biology,27
Political Science,36
Portuguese,2
Psychology,152
REES,7
STATS-ECON,1
Slavic Languages & Literature,7
Sociology,48
Speech Communication,44
TCH ENGL,1
TRANSITION,213
UNCLASS,175
UNCM FR&SO,194
