Major Name,Total
Anthropology,64
Asian Studies,18
Astronomy,15
Atmospheric Sciences,22
Biochemistry,84
Biology,161
Biophysics & Computnl Biology,25
Chemical Engineering,567
Chemical Physics,7
Chemistry,537
Classical Philology,11
Classics,8
Comparative Literature,44
English,101
Entomology,28
French,33
GEN CURR,2461
Genetics,5
Geography,43
Geology,114
German,22
HR&FS,49
History,84
Italian,5
LAS TCH MATH,1
Linguistics,73
Mathematics,151
Microbiology,61
Molecular & Integrative Physi,60
PRE-JOURN,82
PRE-MED,22
PUB ADMIN,12
Philosophy,29
Plant Biology,26
Political Science,42
Psychology,161
SOCIAL SCI,2
Slavic Languages & Literature,14
Sociology,41
Speech Communication,60
TCH BIOL,17
TCH ENGL,45
TCH SOC ST,13
TCH SPEECH,10
UNCLASS,215
