Major Name,Total
Architectural Studies,417
Architecture,159
Art Education,39
Art Foundation,29
Art History,19
Art and Design,43
Crafts,10
Dance,73
Graphic Design,159
History of Art,6
Industrial Design,186
Instrumental Music,78
Jazz Performance,37
Landscape Architecture,132
Music,348
Music Composition,8
Music Education,181
Musicology,22
New Media,19
Nondegree,32
Open Studies,3
Painting,30
Photography,21
Regional Planning,17
Sculpture,2
Theatre,181
Urban Planning,101
Urban Studies & Planning,43
Voice,26
