Major Name,Total
Aero & Astro Engineering,48
Aerospace Engineering,381
Agricultural Engineering,93
Bioengineering,60
Civil Engineering,795
Computer Engineering,563
Computer Science,1064
Electrical Engineering,1406
Engineering Mechanics,78
Engineering Physics,101
Environ Engr in Civil Engr,61
Environ Science in Civil Engr,14
General Engineering,624
Industrial Engineering,81
Materials Science & Engr,383
Mechanical Engineering,1055
Nondegree,83
Nuclear Engineering,159
Physics,296
Systems & Entrepreneurial Engr,27
Theoretical & Applied Mechans,67
