Major Name,Total
Agr & Environmental Cmc & Educ,5
Agricultural & Applied Econ,458
Agricultural Communications,74
Agricultural Education,20
Agricultural Engineering,97
Agricultural Sciences,36
Agronomy,148
Animal Sciences,476
CONSM ECON,38
CORE CURR,43
DIETETICS,80
EXT EDUC,5
FAM&CON EC,7
Food Science & Human Nutrition,245
Forestry,204
GEN AGR,2
GEN H ECON,1
H DVL-FAM,161
HR&FS A&ID,15
HU DEV&FAM,31
Horticulture,69
INT DSGN,1
MKT TEXT&A,77
Mechanical Agriculture,74
Nutritional Sciences,53
ORN HORT,86
PLANT PATH,32
Physics,303
REST MGMT,61
SOIL SCI,5
Secondary Education,32
Spanish,49
Speech & Hearing Science,203
Statistics,27
TEXT-APPRL,18
Teaching of Biological Science,9
Teaching of Chemistry,18
Teaching of Earth Science,3
Teaching of English Sec Lang,89
Teaching of French,14
Teaching of German,2
Teaching of Mathematics,38
Teaching of Physics,6
