Major Name,Total
African Studies,3
Astronomy,82
Atmospheric Sciences,111
Biochemistry,234
Biology,730
Biophysics & Computnl Biology,46
Biophysics & Quant Biology,8
Cell and Developmental Biology,45
Chemical Engineering,768
Chemical Physics,7
Chemistry,881
Classical Philology,10
Classics,16
Communication,786
Comparative Literature,22
Computer Sci & Anthropology,11
Computer Sci & Astronomy,18
Computer Sci & Chemistry,27
Computer Sci & Linguistics,27
Creative Writing,91
E Asian Languages & Cultures,70
"Earth, Soc, Env Sustainability ",152
East Asian Studies,18
"Ecol, Evol, Conservation Biol ",34
Economics,1141
English,439
Entomology,42
European Union Studies,9
French,42
Gender and Women's Studies,13
General Curriculum,155
Geography,39
Geography & Geographic Info Sc,37
Geology,112
German,13
Germanic Lang & Lit,10
Global Studies,202
History,301
History of Art,18
Individual Plans of Study,7
Integrative Biology,402
Interdisciplinary,4
Italian,9
LAS - Undeclared,135
Latin American Studies,3
Latina/Latino Studies,4
Linguistics,114
Math & Computer Science,263
Mathematics,759
Microbiology,55
Molecular & Integrative Physi,25
Molecular and Cellular Biology,1041
Molecular&Cell Bio-undeclared,34
Neuroscience,67
Nondegree,213
Philosophy,79
Physics,386
Plant Biology,36
Plant Biotechnology,3
Political Science,628
Portuguese,1
Psychology,1480
Religion,16
Rhetoric,8
Russian Lang & Literature,2
"Russian, E Eur, Eurasian St ",12
S Asian & Middle Eastern St,3
Slavic Languages & Literature,14
Slavic Studies,1
Sociology,241
Spanish,121
Speech Communication,2
Statistics,336
Statistics & Computer Science,107
Teaching of Chemistry,2
Teaching of English Sec Lang,39
Teaching of French,2
Teaching of German,1
Teaching of Latin,2
Teaching of Mathematics,1
Teaching of Spanish,10
Translation and Interpreting,12
