Major Name,Total
Aerospace Engineering,608
Agricultural & Biological Engr,148
Bioengineering,320
Bioinformatics,3
Civil Engineering,1294
Computer Engineering,905
Computer Science,1596
Electrical & Computer Engr,534
Electrical Engineering,1109
Engineering,4
Engineering Mechanics,93
Engineering Physics,231
Engineering Undeclared,118
Environ Engr in Civil Engr,118
Environ Science in Civil Engr,1
Financial Engineering,109
General Engineering,271
Industrial Engineering,341
Materials Science & Engr,600
Mechanical Engineering,1231
Nondegree,228
Nuclear Engineering,5
"Nuclear, Plasma, Radiolgc Engr ",215
Physics,257
Systems & Entrepreneurial Engr,24
Teaching of Physics,2
Theoretical & Applied Mechans,56
