Major Name,Total
African American Studies,10
Anthropology,71
Applied Mathematics,12
Asian Studies,27
Astronomy,21
Atmospheric Sciences,27
BIOCH,210
Biochemistry,80
Biology,103
Biophysics & Computnl Biology,44
CELL & STR BIOL,11
Chemical Engineering,467
Chemical Physics,4
Chemistry,396
Classical Philology,4
Classics,7
Comparative Literature,27
English,133
Entomology,34
French,38
GEN CURR,2706
Geography,28
Geology,49
German,23
History,116
Italian,4
LAS TCH MATH,6
LATIN AMER ST,3
Linguistics,55
Mathematics,155
Microbiology,56
Molecular & Integrative Physi,46
Neuroscience,45
PRE-JOURN,367
PRE-MED,255
Philosophy,44
Plant Biology,35
Political Science,42
Portuguese,3
Psychology,166
REES,5
Slavic Languages & Literature,12
Sociology,40
Speech Communication,61
TCH BIOL,12
TCH ENGL,25
TCH SOC ST,12
TRANSITION,204
UNCLASS,203
UNCM FR&SO,170
