Major Name,Total
African American Studies,3
Anthropology,97
Applied Mathematics,25
Asian Studies,34
Astronomy,20
Atmospheric Sciences,36
BIOCH,145
Biochemistry,103
Biology,159
Biophysics & Computnl Biology,49
Chemical Engineering,444
Chemical Physics,11
Chemistry,461
Classical Philology,9
Classics,16
Comparative Literature,34
English,142
Entomology,28
French,59
GEN CURR,2093
Geography,49
Geology,59
German,40
History,134
Italian,5
LAS TCH MATH,13
Linguistics,93
Mathematics,194
Microbiology,60
Molecular & Integrative Physi,51
Neuroscience,25
PRE-JOURN,435
PRE-MED,213
Philosophy,45
Plant Biology,23
Political Science,66
Portuguese,6
Psychology,217
Slavic Languages & Literature,29
Sociology,49
Speech Communication,59
TCH BIOL,27
TCH ENGL,87
TCH RUSS,6
TCH SOC ST,54
TCH SPEECH,4
TEACH CS,4
UNCLASS,226
UNCM FR&SO,220
