Major Name,Total
Agr & Environmental Cmc & Educ,10
Agricultural & Applied Econ,451
Agricultural Communications,88
Agricultural Education,19
Agricultural Engineering,91
Agricultural Sciences,40
Agronomy,162
Animal Sciences,524
CONSM ECON,33
CORE CURR,45
DIETETICS,72
EXT EDUC,6
FAM&CON EC,6
Food Science & Human Nutrition,198
Forestry,218
H DVL-FAM,176
HR&FS A&ID,15
HU DEV&FAM,34
Horticulture,66
MKT TEXT&A,72
Mechanical Agriculture,63
Nutritional Sciences,43
ORN HORT,84
PLANT PATH,23
Physics,312
REST MGMT,49
SOIL SCI,2
Secondary Education,24
Spanish,47
Speech & Hearing Science,218
Statistics,20
TEXT-APPRL,11
Teaching of Biological Science,12
Teaching of Chemistry,12
Teaching of Earth Science,4
Teaching of English Sec Lang,85
Teaching of French,9
Teaching of German,2
Teaching of Latin,3
Teaching of Mathematics,24
Teaching of Physics,2
