Major Name,Total
Biology,1
HLTH EDUC,53
HLTH PL AD,111
Kinesiology,497
Leisure Studies,115
MSPH IN C HLTH,6
PARK & NR MGMT,5
PROG MANAG,46
"Recreation, Sport, and Tourism ",27
Rehabilitation,8
