Major Name,Total
Accountancy,1085
Business Administration,1072
COM TEACH,1
Computer Science,392
Economics,248
Finance,739
MANAGEMENT,14
MARKETING,164
Teaching of Spanish,30
Theatre,111
UNASSIGNED,623
