Major Name,Total
Agr & Consumer Economics,601
Agr & Environmental Cmc & Educ,78
Agr Engineering & Agr Science,21
Agricultural & Applied Econ,37
Agricultural & Biological Engr,38
Agricultural Education,8
Agricultural Production,8
Animal Sciences,560
Bioenergy,12
Bioinformatics,10
Crop Sciences,198
Food Science & Human Nutrition,493
Horticulture,33
Human & Community Development,28
Human Development & Family St,218
Natural Res & Env Sciences,78
Natural Resrcs & Environ Sci,235
Nondegree,87
Nutritional Sciences,49
Plant Pathology,1
