Major Name,Total
African American Studies,8
Anthropology,77
Applied Mathematics,18
Asian Studies,22
Astronomy,18
Atmospheric Sciences,33
BIOCH,200
Biochemistry,83
Biology,114
Biophysics & Computnl Biology,48
Chemical Engineering,451
Chemical Physics,7
Chemistry,415
Classical Philology,8
Classics,10
Comparative Literature,36
English,120
Entomology,29
French,46
GEN CURR,2372
Geography,38
Geology,51
German,26
History,116
Italian,7
LAS TCH MATH,9
LATIN AMER ST,1
Linguistics,55
Mathematics,168
Microbiology,65
Molecular & Integrative Physi,50
Neuroscience,40
PRE-JOURN,347
PRE-MED,249
Philosophy,41
Plant Biology,37
Political Science,40
Portuguese,3
Psychology,173
REES,4
Slavic Languages & Literature,16
Sociology,42
Speech Communication,58
TCH BIOL,24
TCH ENGL,45
TCH SOC ST,23
TRANSITION,218
UNCLASS,290
UNCM FR&SO,188
