Major Name,Total
Agr & Consumer Economics,644
Agr & Environmental Cmc & Educ,19
Agr Engineering & Agr Science,4
Agric Leadership & Sci Educ,43
Agricultural & Applied Econ,54
Agricultural & Biological Engr,75
Agricultural Education,5
Agricultural Production,9
Animal Sciences,587
Bioenergy,9
Bioinformatics,7
Crop Sciences,228
Food Science & Human Nutrition,518
Horticulture,34
Human & Community Development,25
Human Development & Family St,225
Natural Res & Env Sciences,80
Natural Resrcs & Environ Sci,241
Nondegree,124
Nutritional Sciences,38
