Major Name,Total
Architectural Studies,554
Architecture,194
Art Education,89
Art Foundation,140
Art History,31
Art and Design,45
Crafts,14
Dance,82
Graphic Design,64
History of Art,13
Industrial Design,117
Instrumental Music,94
Jazz Performance,41
Landscape Architecture,139
Music,345
Music Composition,11
Music Education,243
Music History,7
Musicology,18
New Media,22
Nondegree,30
Open Studies,12
Painting,31
Photography,33
Regional Planning,25
Sculpture,5
Theatre,180
Urban Planning,159
Voice,30
