Major Name,Total
Agr & Consumer Economics,694
Agr & Environmental Cmc & Educ,11
Agric Leadership & Sci Educ,58
Agricultural & Applied Econ,57
Agricultural & Biological Engr,89
Agricultural Education,8
Agricultural Production,6
Animal Sciences,627
Bioenergy,10
Bioinformatics,4
Crop Sciences,246
Food Science & Human Nutrition,529
Horticulture,25
Human & Community Development,22
Human Development & Family St,228
Natural Res & Env Sciences,79
Natural Resrcs & Environ Sci,239
Nondegree,119
Nutritional Sciences,42
