Major Name,Total
Agr & Consumer Economics,699
Agr & Environmental Cmc & Educ,73
Agr Engineering & Agr Science,54
"Agribusiness, Farm & Financial ",31
Agricultural Education,1
Animal Sciences,644
Bioinformatics,1
Crop Sciences,142
Food Science & Human Nutrition,397
Horticulture,57
Human & Community Development,28
Human Development & Family St,211
"Intl, Resource, Consumer Econ ",20
Natural Res & Env Sciences,91
Natural Resrcs & Environ Sci,177
Nondegree,30
Nutritional Sciences,61
