Major Name,Total
Agr & Environmental Cmc & Educ,5
Agricultural & Applied Econ,315
Agricultural Communications,79
Agricultural Education,26
Agricultural Engineering,83
Agricultural Sciences,81
Agronomy,173
Animal Sciences,487
Application Design,11
CORE CURR,158
DAIRY SCI,51
DIETETICS,32
EXT EDUC,13
FAM&CON EC,20
Food Science & Human Nutrition,209
Forestry,124
GEN AGR,74
GEN AGRIC,1
GEN H ECON,5
H DVL-FAM,36
HOME EC ED,1
HOME ECON,171
HOME MGMT,2
HR&FS,1
HR&FS A&ID,6
HR&FS GEN,1
HU DEV&FAM,14
Horticulture,48
INST MGMT,8
INT DSGN,140
Industrial Agriculture,70
MKT TEXT&A,103
Mechanical Agriculture,49
Nutritional Sciences,30
ORN HORT,122
PLANT PATH,34
Physics,362
REST MGMT,53
Secondary Education,16
Spanish,46
Speech & Hearing Science,158
Statistics,11
TEXT-APPRL,9
Teaching of Biological Science,1
Teaching of Chemistry,7
Teaching of English Sec Lang,75
Teaching of French,15
Teaching of German,9
Teaching of Latin,2
Teaching of Mathematics,28
VOC H E ED,36
Wood Sciences,5
