Major Name,Total
Agr & Environmental Cmc & Educ,5
Agricultural & Applied Econ,429
Agricultural Communications,85
Agricultural Education,26
Agricultural Engineering,98
Agricultural Sciences,77
Agronomy,168
Animal Sciences,474
Application Design,18
CONSM ECON,14
CORE CURR,103
DAIRY SCI,67
DIETETICS,69
EXT EDUC,12
FAM&CON EC,6
Food Science & Human Nutrition,220
Forestry,86
GEN AGR,34
GEN H ECON,7
H DVL-FAM,82
HOME ECON,3
HR&FS A&ID,10
HR&FS GEN,5
HU DEV&FAM,28
Horticulture,56
INST MGMT,9
INT DSGN,163
Industrial Agriculture,61
MKT TEXT&A,141
Mechanical Agriculture,37
Nutritional Sciences,41
ORN HORT,81
PLANT PATH,39
Physics,370
REST MGMT,57
SOIL SCI,2
Secondary Education,28
Spanish,36
Speech & Hearing Science,131
Statistics,16
TEXT-APPRL,28
Teaching of Biological Science,1
Teaching of Chemistry,6
Teaching of Earth Science,1
Teaching of English Sec Lang,77
Teaching of French,23
Teaching of German,6
Teaching of Latin,4
Teaching of Mathematics,31
Teaching of Physics,1
VOC H E ED,19
