Major Name,Total
Architectural Studies,507
Architecture,219
Art Education,82
Art Foundation,108
Art History,26
Art and Design,39
Crafts,12
Dance,69
Graphic Design,70
History of Art,10
Industrial Design,117
Instrumental Music,89
Jazz Performance,27
Landscape Architecture,118
Music,346
Music Composition,9
Music Education,189
Music History,5
Musicology,19
New Media,24
Nondegree,33
Open Studies,6
Painting,43
Photography,42
Regional Planning,23
Sculpture,6
Theatre,175
Urban Planning,155
Voice,30
