Major Name,Total
Anthropology,71
Applied Mathematics,27
Asian Studies,13
Astronomy,19
Atmospheric Sciences,28
BIOCH,153
Biochemistry,109
Biology,163
Biophysics & Computnl Biology,34
Chemical Engineering,440
Chemical Physics,5
Chemistry,522
Classical Philology,7
Classics,10
Comparative Literature,33
English,114
Entomology,39
French,44
GEN CURR,2269
Genetics,2
Geography,40
Geology,78
German,28
HR&FS,15
History,92
Italian,9
LAS TCH MATH,10
Linguistics,79
Mathematics,167
Microbiology,60
Molecular & Integrative Physi,49
PRE-JOURN,540
PRE-MED,210
PUB ADMIN,6
Philosophy,40
Plant Biology,28
Political Science,49
Psychology,202
Slavic Languages & Literature,25
Sociology,38
Speech Communication,39
TCH BIOL,28
TCH ENGL,41
TCH RUSS,1
TCH SOC ST,11
TCH SPEECH,8
TEACH CS,6
UNCLASS,180
UNCM FR&SO,173
