Major Name,Total
Anthropology,53
Applied Mathematics,2
Asian Studies,13
Astronomy,19
Atmospheric Sciences,24
BIOCH,124
Biochemistry,112
Biology,167
Biophysics & Computnl Biology,31
Chemical Engineering,419
Chemical Physics,4
Chemistry,531
Classical Philology,8
Classics,10
Comparative Literature,45
English,115
Entomology,37
French,45
GEN CURR,2284
Genetics,3
Geography,45
Geology,78
German,30
HR&FS,35
History,83
Italian,6
LAS TCH MATH,6
Linguistics,72
Mathematics,184
Microbiology,59
Molecular & Integrative Physi,59
PRE-JOURN,445
PRE-MED,275
PUB ADMIN,9
Philosophy,42
Plant Biology,31
Political Science,60
Psychology,193
SOCIAL SCI,1
Slavic Languages & Literature,19
Sociology,33
Speech Communication,49
TCH BIOL,23
TCH ENGL,35
TCH SOC ST,10
TCH SPEECH,7
TEACH CS,6
UNCLASS,188
UNCM FR&SO,165
