Major Name,Total
African Studies,11
Asian Studies,15
Astronomy,75
Atmospheric Sciences,86
Biochemistry,204
Biology,876
Biophysics & Computnl Biology,75
Cell and Developmental Biology,46
Cell and Structural Biology,4
Chemical Engineering,523
Chemical Physics,13
Chemistry,723
Classical Philology,5
Classics,37
Comparative Literature,44
Creative Writing,20
E Asian Languages & Cultures,96
"Earth Systems, Env, & Society ",65
"Ecol, Evol, Conservation Biol ",19
Economics,836
English,934
Entomology,33
Finance,5
French,96
General Curriculum,1387
Geography,87
Geology,88
German,21
Germanic Lang & Lit,34
History,658
History of Art,44
Individual Plans of Study,7
Integrative Biology,322
Interdisciplinary,65
International Studies,402
Italian,14
Latin American Studies,15
Linguistics,124
Math & Computer Science,92
Mathematics,558
Microbiology,72
Molecular & Integrative Physi,31
Molecular and Cellular Biology,1009
Molecular&Cell Bio-undeclared,31
Neuroscience,54
Nondegree,146
Philosophy,126
Physics,147
Plant Biology,30
Political Science,1062
Portuguese,2
Psychology,1437
Religious Studies,23
Rhetoric,119
Russian & E European Studies,4
Russian Lang & Literature,4
"Russian, E Eur, Eurasian St ",11
Slavic Languages & Literature,8
Sociology,514
Spanish,298
Speech Communication,762
Statistics,133
Statistics & Computer Science,14
Teaching of Chemistry,2
Teaching of Earth Science,1
Teaching of English Sec Lang,52
Teaching of French,5
Teaching of German,2
Teaching of Spanish,36
