Major Name,Total
African American Studies,9
Anthropology,87
Applied Mathematics,15
Asian Studies,31
Astronomy,18
Atmospheric Sciences,32
BIOCH,211
Biochemistry,95
Biology,136
Biophysics & Computnl Biology,50
Chemical Engineering,475
Chemical Physics,12
Chemistry,491
Classical Philology,13
Classics,10
Comparative Literature,31
English,118
Entomology,40
French,54
GEN CURR,2446
Geography,42
Geology,66
German,37
History,123
Italian,5
LAS TCH MATH,6
Linguistics,81
Mathematics,196
Microbiology,79
Molecular & Integrative Physi,51
Neuroscience,33
PRE-JOURN,316
PRE-MED,293
Philosophy,44
Plant Biology,41
Political Science,62
Portuguese,5
Psychology,205
REES,6
Slavic Languages & Literature,20
Sociology,50
Speech Communication,63
TCH BIOL,21
TCH ENGL,74
TCH SOC ST,33
TCH SPEECH,5
TEACH CS,3
TRANSITION,224
UNCLASS,246
UNCM FR&SO,202
