Major Name,Total
Agr & Consumer Economics,259
Agr & Environmental Cmc & Educ,114
Agr Engineering & Agr Science,58
Agricultural & Applied Econ,127
Agricultural Communications,19
Agricultural Education,2
Agricultural Engineering,8
Agricultural Sciences,10
Agronomy,55
Animal Sciences,579
CFTM-CNSMR&TXTL,77
CFTM-MKT&PRICE,24
CONSM ECON,3
Crop Sciences,101
DIETETICS,10
Food Science & Human Nutrition,346
Forestry,48
H DVL-FAM,66
HDFS,1
HDFS-CH&AD DEV,94
HDFS-FS,36
HORT -- P&M,58
HORT--HORT SCI,7
HR&FS A&ID,3
HU DEV&FAM,12
Horticulture,21
Human & Community Development,11
INTRSRCCNSECON,2
IRCE-CONS EC&F,50
IRCE-E&NR MGMT,6
IRCE-INDCURRIC,9
"IRCE-POL,TRD,DV",25
MKT TEXT&A,7
Mechanical Agriculture,11
NRES - SOILS,5
NRES-BIOL SCI,117
NRES-SOC SCI,36
Natural Res & Env Sciences,2
Natural Resrcs & Environ Sci,98
Nutritional Sciences,44
ORN HORT,39
PLANT PATH,12
Physics,275
REST MGMT,13
"Recreation, Sport, and Tourism ",80
Secondary Education,17
Spanish,55
Speech & Hearing Science,205
Statistics,15
Teaching of Biological Science,7
Teaching of Chemistry,7
Teaching of Earth Science,3
Teaching of English Sec Lang,64
Teaching of French,3
Teaching of German,4
Teaching of Latin,3
Teaching of Mathematics,8
Teaching of Physics,2
